inf-norm-min-adv-dist;inf-norm-PGD-dist;inf-norm-sec-att-dist;;inf-norm-Clever-5-samples;;inf-norm-Clever-20-samples;;inf-norm-Clever-100-samples;;inf-norm-Clever-1024-samples;2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;;2-norm-Clever-5-samples;;2-norm-Clever-20-samples;;2-norm-Clever-100-samples;;2-norm-Clever-1024-samples;1-norm-min-adv-dist;1-norm-PGD-dist;1-norm-sec-att-dist;1-norm-Clever-5-samples;1-norm-Clever-20-samples;1-norm-Clever-100-samples;;1-norm-Clever-1024-samples
0;0;0;;0,0003;;0,0003;;0,0003;;0,0003;0;0;0;;0,0437;;0,0012;;0,0358;;0,0004;0;0;0;0,0062;0,001;0,0066;;0,0048
0;0;0;;0,0019;;0,0018;;0,0016;;0,0018;0;0;0;;0,0018;;0,0008;;0,0008;;0,0016;0;0;0;0,4581;0,0255;0,3828;;0,0083
0;0;0;;0,0007;;0,0007;;0,0006;;0,0006;0;0;0;;0,0021;;0,056;;0,0569;;0,0225;0;0;0;0,0115;0,0005;0,0103;;0,0031
0;0;0;;0,0001;;0,0001;;0,0001;;0,0001;0;0;0;;0,0003;;0,0097;;0,0025;;0,0106;0;0;0;0,1145;0,0098;0,0731;;0,0023
0;0;0;;0,0012;;0,0012;;0,0012;;0,0012;0;0;0;;0,0233;;0,0017;;0,0012;;0,0004;0;0;0;0,0021;0,0037;0,0184;;0,0007
0;0;0;;0,0026;;0,0023;;0,002;;0,002;0;0;0;;0,0322;;0,029;;0,0292;;0,0235;0;0;0;0,0044;0,0051;0,1662;;0,0017
0;0;0;;0,0008;;0,0008;;0,0008;;0,0007;0;0;0;;0,0171;;0,0057;;0,0005;;0,0014;0;0;0;0,0015;0,0089;0,0023;;0,0012
0;0;0;;0,0019;;0,0017;;0,0014;;0,0014;0;0;0;;0,0032;;0,0034;;0,0035;;0,0007;0;0;0;0,0016;0,0054;0,0004;;0,0029
0;0;0;;0,0009;;0,0009;;0,0008;;0,0008;0;0;0;;0,0063;;0,0013;;0,0138;;0,0555;0;0;0;0,001;0,0048;0,002;;0,1103
0;0;0;;0,0014;;0,0013;;0,0013;;0,0012;0;0;0;;0,0011;;0,0014;;0,0025;;0,0026;0;0;0;0,1408;0,1352;0,1086;;0,0036
0;0;0;;0,0012;;0,0012;;0,0011;;0,001;0;0;0;;0,0018;;0,0472;;0,0444;;0,0064;0;0;0;0,003;0,0012;0,0009;;0,0197
0;0;0;;0,0024;;0,002;;0,002;;0,002;0;0;0;;0,1139;;0,0724;;0,0709;;0,0703;0;0;0;0,4453;0,0062;0,0071;;0,0025
0;0;0;;0,0004;;0,0004;;0,0004;;0,0004;0;0;0;;0,0456;;0,0435;;0,0021;;0,0301;0;0;0;0,0047;0,0024;0,0032;;0,0009
0;0;0;;0,0017;;0,0017;;0,0016;;0,0016;0;0;0;;0,0076;;0,0323;;0,0009;;0,023;0;0;0;0,0013;0,0159;0,0027;;0,0032
0;0;0;;0,0015;;0,0013;;0,0014;;0,0012;0;0;0;;0,0726;;0,0745;;0,0739;;0,0589;0;0;0;0,0016;0,0071;0,0033;;0,1406
0;0;0;;0,0008;;0,0009;;0,0008;;0,0008;0;0;0;;0,0078;;0,0016;;0,0033;;0,0051;0;0;0;0,005;0,0021;0,0032;;0,1685
0;0;0;;0,0031;;0,0031;;0,0028;;0,0027;0;0;0;;0,0029;;0,0005;;0,0041;;0,0031;0;0;0;0,0024;0,0023;0,0024;;0,0006
0;0;0;;0,0007;;0,0007;;0,0006;;0,0006;0;0;0;;0,0548;;0,0463;;0,0459;;0,0356;0;0;0;0,0011;0,0019;0,1159;;0,1445
0;0;0;;0,0278;;0,0303;;0,0068;;0,0199;0;0;0;;0,0037;;0,0013;;0,0026;;0,0034;0;0;0;7,5705;7,7434;6,1761;;5,548
0;0;0;;0,0006;;0,0006;;0,0006;;0,0005;0;0;0;;1,1564;;1,0615;;0,0041;;0,0299;0;0;0;0,0046;0,0008;0,0015;;0,0058
0,0003000051;0,0003000051;0,0020573139;0;0,0002;0;0,0002;0;0,0002;0;0,0001;0,0062;0,01;0,0062;0;0,0047;0;0,0027;0;0,0047;0;0,0013;0,0441;0,2;0,0441;0,0008;0,0023;0,0013;0;0,0021
0,0006000102;0,0006000102;0,0055893082;0;0,0006;0;0,0005;0;0,0005;0;0,0005;0,0121;0,015;0,0121;0;0,0011;0;0,0024;0;0,001;0;0,0014;0,1062;0,5999;0,1062;0,0007;0,0001;0,0003;0;0,0016
0,0006000102;0,0006000102;0,0031555891;0;0,0003;0;0,0003;0;0,0003;0;0,0003;0,013;0,015;0,013;1;0,0149;0;0,0064;1;0,0134;0;0,013;0,1525;0,5998;0,1525;0,0033;0,0011;0,0004;0;0,0016
0,0006000102;0,0006000102;0,0051142573;0;0,0004;0;0,0004;0;0,0004;0;0,0004;0,0174;0,02;0,0174;0;0,0012;1;0,0184;0;0,0158;0;0,0135;0,242;0,7997;0,242;0,0026;0,0015;0,0021;0;0,0006
0,0006000102;0,0006000102;0,0036762357;0;0,0005;0;0,0004;0;0,0004;0;0,0004;0,0192;0,025;0,0192;0;0,0151;0;0,0009;0;0,0142;0;0,0131;0,3288;0,9996;0,3288;0,0069;0,002;0,0008;0;0,0013
0,0009000152;0,0009000152;0,0064379871;0;0,0008;0;0,0007;0;0,0007;0;0,0007;0,0273;0,03;0,0273;0;0,0058;0;0,0257;0;0,0241;0;0,0023;0,361;0,9995;0,361;0,0023;0,0322;0,0655;0;0,0054
0,0009001493;0,0009001493;0,006867975;0;0,0009;1;0,001;0;0,0009;0;0,0009;0,0281;0,03;0,0281;0;0,0275;0;0,002;0;0,0031;0;0,0015;0,4303;0,9997;0,4303;0,0013;0,0005;0,0069;0;0,0032
0,0012001991;0,0012001991;0,0077993348;0;0,0011;0;0,001;0;0,0011;0;0,001;0,0365;0,0399;0,0365;0;0,0029;0;0,0019;0;0,0049;0;0,0113;0,4702;1,3967;0,4702;0,0024;0,0018;0,0005;0;0,0026
0,0012001991;0,0012001991;0,0086266249;0;0,0011;0;0,001;0;0,0009;0;0,0009;0,0388;0,04;0,0388;0;0,0386;0;0,0002;0;0,0289;0;0,0354;0,538;1,9961;0,538;0,0029;0,0026;0,0058;0;0,001
0,0014999509;0,0014999509;0,0076684356;1;0,0015;1;0,0015;0;0,0014;0;0,001;0,0419;0,0449;0,0419;0;0,0042;0;0,0336;0;0,0007;0;0,0043;0,5776;1,3987;0,5776;0,0005;0,0027;0,0047;0;0,1558
0,0015000254;0,0015000254;0,0071095526;0;0,0012;0;0,0012;0;0,001;0;0,0009;0,0425;0,045;0,0425;0;0,0358;0;0,001;0;0,0293;0;0,0289;0,6015;2,3739;0,6015;0,2281;0,0033;0,1807;0;0,0018
